Region,Product,Date,Sales
West,Product_C,2024-05-24,2130
South,Product_A,2024-11-27,2928
East,Product_A,2024-07-22,4216
East,Product_A,2024-08-01,884
North,Product_C,2025-01-08,1948
East,Product_C,2024-10-23,1308
North,Product_A,2024-06-18,2236
South,Product_A,2024-10-03,3813
West,Product_B,2024-11-21,2288
North,Product_D,2024-05-03,3991
West,Product_A,2024-07-13,1427
North,Product_A,2024-06-07,4006
North,Product_D,2025-01-21,2710
East,Product_C,2024-05-21,3920
West,Product_A,2024-09-28,4478
North,Product_C,2025-01-04,3714
West,Product_D,2024-10-24,1600
East,Product_C,2024-07-18,1150
West,Product_A,2025-01-14,2107
West,Product_A,2024-05-23,2973
South,Product_D,2024-10-06,2425
South,Product_C,2024-09-30,2450
East,Product_A,2024-03-04,1727
East,Product_B,2024-09-04,2212
East,Product_B,2024-09-06,3772
South,Product_D,2024-12-28,4986
West,Product_C,2024-03-18,2666
West,Product_D,2024-11-18,4449
West,Product_C,2024-12-09,1151
North,Product_B,2024-11-06,4862
East,Product_A,2024-11-24,3451
South,Product_A,2024-06-17,1655
West,Product_D,2024-06-24,3722
North,Product_A,2024-05-08,4621
South,Product_A,2024-05-09,3242
East,Product_C,2024-06-08,3860
East,Product_B,2024-09-13,3070
South,Product_A,2024-08-28,1959
South,Product_C,2024-10-19,639
North,Product_C,2024-08-01,2286
East,Product_D,2024-02-25,2659
West,Product_D,2024-06-14,4359
South,Product_B,2024-03-25,3560
South,Product_C,2024-08-30,2905
East,Product_C,2024-03-11,1244
North,Product_B,2024-09-16,2932
South,Product_B,2024-05-23,4503
North,Product_C,2024-03-01,3130
West,Product_A,2024-02-14,3327
East,Product_C,2024-08-14,3821
South,Product_D,2024-10-15,2875
East,Product_D,2024-02-27,2201
South,Product_A,2024-07-09,4125
North,Product_B,2024-11-13,3242
South,Product_A,2024-08-30,717
North,Product_B,2024-09-25,2879
East,Product_D,2024-09-29,2994
East,Product_B,2024-04-01,926
North,Product_B,2024-05-19,4772
North,Product_B,2024-09-24,3482
East,Product_C,2024-08-10,3531
South,Product_C,2024-10-21,2682
North,Product_A,2024-07-19,4324
South,Product_B,2024-08-29,4779
North,Product_A,2024-02-18,3818
East,Product_A,2024-04-23,1170
South,Product_C,2024-06-11,3617
North,Product_A,2025-01-15,3032
South,Product_D,2024-10-05,3852
East,Product_B,2024-12-25,3115
North,Product_A,2024-10-12,586
West,Product_B,2024-10-08,4379
West,Product_C,2024-12-21,2232
East,Product_D,2024-05-01,2519
West,Product_B,2024-02-24,4597
East,Product_A,2024-08-30,915
South,Product_B,2024-08-12,1683
South,Product_A,2024-05-23,1649
North,Product_C,2024-07-29,1422
North,Product_B,2024-03-09,2570
North,Product_A,2024-11-16,3656
West,Product_B,2024-04-29,543
East,Product_A,2024-05-15,3337
South,Product_A,2024-12-02,2016
West,Product_D,2025-02-02,1269
West,Product_C,2024-05-28,2851
North,Product_A,2024-07-15,1378
South,Product_A,2024-05-01,3387
West,Product_B,2024-09-15,3976
West,Product_B,2024-05-09,783
East,Product_A,2024-09-23,767
East,Product_D,2024-05-28,3855
South,Product_A,2024-07-03,3384
West,Product_D,2024-12-29,3938
North,Product_D,2024-02-23,2756
East,Product_C,2024-04-12,2377
South,Product_D,2024-12-20,3016
East,Product_A,2024-10-27,935
North,Product_C,2024-08-08,4278
East,Product_B,2024-06-25,4761
North,Product_C,2024-11-12,2726
East,Product_A,2024-08-09,1484
East,Product_A,2024-09-15,4723
East,Product_D,2024-02-22,4695
East,Product_C,2025-01-09,4429
North,Product_D,2024-10-07,1708
West,Product_A,2024-02-12,3202
South,Product_D,2024-04-30,4641
South,Product_D,2024-10-04,995
North,Product_D,2024-12-01,2557
West,Product_A,2024-03-12,3616
East,Product_B,2024-02-28,3357
West,Product_B,2024-04-25,660
West,Product_D,2024-09-06,4778
East,Product_B,2024-06-18,895
West,Product_D,2025-01-23,1870
South,Product_B,2024-03-26,2937
South,Product_B,2024-09-05,1075
East,Product_C,2024-03-20,2458
East,Product_C,2024-10-17,3648
South,Product_B,2024-10-09,4073
South,Product_C,2024-12-01,3638
West,Product_B,2024-06-02,784
North,Product_B,2024-09-26,1478
West,Product_D,2024-09-18,504
South,Product_D,2024-09-09,1373
South,Product_D,2024-09-23,2431
East,Product_A,2024-10-04,3750
West,Product_B,2024-04-04,1278
East,Product_B,2024-05-10,3794
South,Product_D,2024-05-03,516
North,Product_B,2024-04-11,3739
East,Product_D,2024-03-17,2437
South,Product_A,2025-01-28,3800
